STATE/UT,DISTRICT,TEHSIL/BLOCK ,VILLAGE NAME,SITE NAME,latitude,longitude,WELL SITE TYPE,water_level
,,NAME,,,,,,
,,,,,,,,
Andhra Pradesh,Anantapur,Amarapuram,Palasamudram,Palasamudram,13.9605,77.6761,Dug Well,0.57
Andhra Pradesh,Anantapur,Atmakur,Atmakur,Atmakur-PZ,14.64487,77.3638,Bore Well,3.43
Andhra Pradesh,Anantapur,Atmakur,Waddipalli,Waddipalli,14.67769,77.4562,Dug Well,1.03
Andhra Pradesh,Anantapur,Bukkarayasamudram Korrapadu,,Korrapadu,14.75411,77.71196,Dug Well,1.05
Andhra Pradesh,Anantapur,Bukkarayasamudram Regadikoturu,,Regadikoturu-OW,14.7663889,77.62333,Bore Well,1.67
Andhra Pradesh,Anantapur,Chennakothapalle,Chenna Kothapalli,Chenna Kothapalli-PZ,14.27033,77.6254,Bore Well,3.12
Andhra Pradesh,Anantapur,Dharmavaram,Dharmavaram,Dharmavaram,14.4138,77.71609,Dug Well,1.29
Andhra Pradesh,Anantapur,Dharmavaram,Dharmavaram-Ewl,Dharmavaram-Ewl,14.3864,77.7102,Bore Well,3.4
Andhra Pradesh,Anantapur,Dharmavaram,Dharmavaram-Ewll,Dharmavaram-Ewll,14.3864,77.7102,Bore Well,3.35
Andhra Pradesh,Anantapur,Gooty,Gooty,Gooty-alt,15.1179,77.64,Dug Well,4.83
Andhra Pradesh,Anantapur,Gooty,Gooty,Gooty-PZ,15.1259,77.6346,Bore Well,7.82
Andhra Pradesh,Anantapur,Gudibanda,Budipalli,Budipalli,13.9738,77.1648,Dug Well,3.3
Andhra Pradesh,Anantapur,Gudibanda,Palaram,Palaram 2013DW,13.956,77.1083,Dug Well,2.35
Andhra Pradesh,Anantapur,Guntakal,Guntakal,Guntakal2,15.15571,77.3837,Dug Well,1.27
Andhra Pradesh,Anantapur,Kadiri,Alampur,Alampur,14.194,78.1656,Dug Well,1.21
Andhra Pradesh,Anantapur,Kalyandurg,Kalyandurg-Alt,Kalyandurg-alt,14.5483,77.1071,Dug Well,2.07
Andhra Pradesh,Anantapur,Lepakshi,Kanchisamudram,Kanchisamudram-,13.7752,77.6117,Dug Well,2.2
,Anantapur,,,DW13,,,,
Andhra Pradesh,Anantapur,Madakasira,A Roppam-Pz,A Roppam-Pz,14.0269,77.2737,Bore Well,0.01
Andhra Pradesh,Anantapur,Madakasira,Kothalagutta-Dw,Kothalagutta-DW,13.92059,77.2191,Dug Well,1.22
Andhra Pradesh,Anantapur,Madakasira,Madakasira,Madakasira1,13.9411,77.276,Dug Well,0.6
Andhra Pradesh,Anantapur,Madakasira,Madakasira,Madakasira-PZ,13.9407,77.2632,Bore Well,5.84
Andhra Pradesh,Anantapur,Mudigubba,Adivi Brahmanapalli,Adivi Brahmanapalli,14.3549,78.0366,Dug Well,0.08
Andhra Pradesh,Anantapur,Mudigubba,Malakavemula-Rs,Malakavemula-rs,14.27,78.0575,Dug Well,1.12
Andhra Pradesh,Anantapur,Nallacheruvu,Nallacheruvu,Nallacheruvu ,13.987,78.1878,Dug Well,6.58
Andhra Pradesh,Anantapur,Nallamada,"Muthyalacherevu 
Poolabhavi","Muthyalacherevu 
Poolabhavi-DW14",14.1031,78.0998,Dug Well,0.2
Andhra Pradesh,Anantapur,Obuladevaracheruvu,Ingaluru,Ingaluru,14.04526,78.0388,Dug Well,2.19
Andhra Pradesh,Anantapur,Obuladevaracheruvu,O.D.Cheruvu,O.D.Cheruvu-PZ,14.0217,77.9952,Bore Well,2.7
Andhra Pradesh,Anantapur,Obuladevaracheruvu,Tangdikunta,Tangdikunta-DW13,13.9425,77.9345,Dug Well,1.85
Andhra Pradesh,Anantapur,Penukonda,Penukonda,Penukonda,14.0863,77.5976,Dug Well,4.18
Andhra Pradesh,Anantapur,Puttaparti,Kambalaparthi,Kambalaparthi-DW14 14.1377,,77.9099,Dug Well,2.3
Andhra Pradesh,Anantapur,Rayadurg,Rayadurg,Rayadurg-new,14.7054,76.8484,Dug Well,3.1
Andhra Pradesh,Anantapur,Rolla,Hottebetta-Pz,Hottebetta-Pz,13.881,77.1588,Bore Well,2.05
Andhra Pradesh,Anantapur,Rolla,Kothapalem,Kothapalem,13.8768,77.1462,Dug Well,2.28
Andhra Pradesh,Anantapur,Tadipatri,Tadipatri,Tadipatri-PZ,14.9088,77.9952,Bore Well,9.6
